[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_execution_20260712_153033.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-12_15-30-33.log[0m
[36m======================================================================================================================[0m

[33m15:30:33 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=027.0s | Phase 2: SABOTAGE       | EE err: 0.073 m | L1 sh: +18.8 | L1 elbow: +17.0 N-m | ESS:  10.5/200 | plan:  199.5 ms
t=027.5s | Phase 3: Returning Home | EE err: 0.367 m | L1 sh:  +3.4 | L1 elbow:  +3.2 N-m | ESS:  95.7/200 | plan:  208.2 ms
t=028.0s | Phase 3: Returning Home | EE err: 0.390 m | L1 sh:  +1.8 | L1 elbow:  +0.9 N-m | ESS:  83.8/200 | plan:  205.9 ms
t=028.5s | Phase 3: Returning Home | EE err: 0.459 m | L1 sh:  -1.0 | L1 elbow:  +0.9 N-m | ESS:  92.4/200 | plan:  191.2 ms
t=029.0s | Phase 3: Returning Home | EE err: 0.454 m | L1 sh:  -0.8 | L1 elbow:  +1.0 N-m | ESS:  86.1/200 | plan:  189.2 ms
t=029.5s | Phase 3: Returning Home | EE err: 0.397 m | L1 sh:  -0.4 | L1 elbow:  +0.9 N-m | ESS:  59.2/200 | plan:  204.1 ms
t=030.0s | Phase 3: Returning Home | EE err: 0.338 m | L1 sh:  -0.0 | L1 elbow:  +1.0 N-m | ESS:  13.3/200 | plan:  186.8 ms
t=030.5s | Phase 1: Nominal Reach  | EE err: 0.102 m | L1 sh:  +1.1 | L1 elbow:  +1.0 N-m | ESS: 113.3/200 | plan:  197.3 ms
t=031.0s | Phase 1: Nominal Reach  | EE err: 0.070 m | L1 sh:  +1.1 | L1 elbow:  +0.8 N-m | ESS:  92.2/200 | plan:  199.1 ms
t=031.5s | Phase 1: Nominal Reach  | EE err: 0.113 m | L1 sh:  -0.6 | L1 elbow:  +1.1 N-m | ESS:  48.0/200 | plan:  210.7 ms
t=032.0s | Phase 1: Nominal Reach  | EE err: 0.069 m | L1 sh:  -0.2 | L1 elbow:  +0.8 N-m | ESS:  43.8/200 | plan:  187.7 ms
t=032.5s | Phase 1: Nominal Reach  | EE err: 0.053 m | L1 sh:  +0.7 | L1 elbow:  +0.4 N-m | ESS:  61.0/200 | plan:  213.1 ms
t=033.0s | Phase 1: Nominal Reach  | EE err: 0.082 m | L1 sh:  +0.9 | L1 elbow:  +0.4 N-m | ESS:  94.4/200 | plan:  188.1 ms
t=033.5s | Phase 1: Nominal Reach  | EE err: 0.133 m | L1 sh:  +0.5 | L1 elbow:  +0.2 N-m | ESS:  90.0/200 | plan:  196.8 ms
t=034.0s | Phase 1: Nominal Reach  | EE err: 0.165 m | L1 sh:  +0.4 | L1 elbow:  +0.2 N-m | ESS: 111.9/200 | plan:  206.1 ms
t=034.5s | Phase 2: SABOTAGE       | EE err: 0.163 m | L1 sh: +16.6 | L1 elbow: +14.3 N-m | ESS:  86.7/200 | plan:  201.1 ms
t=035.0s | Phase 2: SABOTAGE       | EE err: 0.124 m | L1 sh: +19.7 | L1 elbow: +16.3 N-m | ESS:  58.4/200 | plan:  194.8 ms
